omega*t					L0, analytically					L0, numerically					Lprime					( Lprime - L0 ) / L0					dL_f/L0					dL_dot/L0
0.816814089933346					7.95985146428528e+32					7.9598514441357e+32					7.95968429329262e+32					-2.09992415370102e-05					-2.09992407226776e-05					-7.91392225636494e-13
0.879645943005142					7.95985146428528e+32					7.9598514441357e+32					7.95968247670055e+32					-2.1227460880566e-05					-2.1227460019432e-05					-8.67797933987013e-13
0.942477796076938					7.95985146428528e+32					7.9598514441357e+32					7.95968332482521e+32					-2.11209105685165e-05					-2.11209095910156e-05					-9.30517950532945e-13
1.00530964914873					7.95985146428528e+32					7.9598514441357e+32					7.95968682429296e+32					-2.06812707361328e-05					-2.06812698013261e-05					-9.78563143102505e-13
1.06814150222053					7.95985146428528e+32					7.9598514441357e+32					7.95969291991288e+32					-1.99154750469583e-05					-1.99154740324728e-05					-1.01117581035287e-12
1.13097335529233					7.95985146428528e+32					7.9598514441357e+32					7.95970151555509e+32					-1.88356003446825e-05					-1.88355993412062e-05					-1.02784163103211e-12
1.19380520836412					7.95985146428528e+32					7.9598514441357e+32					7.95971247566036e+32					-1.74586770007135e-05					-1.74586759964855e-05					-1.02829777518285e-12
1.25663706143592					7.95985146428528e+32					7.9598514441357e+32					7.95972562738064e+32					-1.58064199996323e-05					-1.5806418901992e-05					-1.0125370491394e-12
1.31946891450771					7.95985146428528e+32					7.9598514441357e+32					7.95974076330938e+32					-1.39048859259703e-05					-1.39048851391209e-05					-9.80808008973438e-13
1.38230076757951					7.95985146428528e+32					7.9598514441357e+32					7.95975764473768e+32					-1.17840638959337e-05					-1.17840630312269e-05					-9.3361104059546e-13
1.4451326206513					7.95985146428528e+32					7.9598514441357e+32					7.95977600543971e+32					-9.47739998886548e-06					-9.4773992098747e-06					-8.71690468402295e-13
1.5079644737231					7.95985146428528e+32					7.9598514441357e+32					7.95979555585533e+32					-7.02127178567849e-06					-7.02127114145526e-06					-7.9602281678594e-13
1.5707963267949					7.95985146428528e+32					7.9598514441357e+32					7.95981598766247e+32					-4.45441393943659e-06					-4.4544134328339e-06					-7.07801409851478e-13
1.63362817986669					7.95985146428528e+32					7.9598514441357e+32					7.95983697863956e+32					-1.81730730058903e-06					-1.81730696343762e-06					-6.08417551868442e-13
1.69646003293849					7.95985146428528e+32					7.9598514441357e+32					7.95985819774418e+32					8.48459111884745e-07					8.48459522378179e-07					-4.99438585609276e-13
1.75929188601028					7.95985146428528e+32					7.9598514441357e+32					7.95987931034193e+32					3.50084501297857e-06					3.50084529468127e-06					-3.82583174514622e-13
1.82212373908208					7.95985146428528e+32					7.9598514441357e+32					7.95989998347366e+32					6.09802058573301e-06					6.09802064538278e-06					-2.5969419821594e-13
1.88495559215388					7.95985146428528e+32					7.9598514441357e+32					7.95991989110876e+32					8.59902644425215e-06					8.59902656772597e-06					-1.32709689284653e-13
1.94778744522567					7.95985146428528e+32					7.9598514441357e+32					7.95993871929539e+32					1.09644206681156e-05					1.09644207042875e-05					-3.63226927366957e-15
2.01061929829747					7.95985146428528e+32					7.9598514441357e+32					7.95995617110342e+32					1.31568997807853e-05					1.31568993765158e-05					1.25502433796746e-13
2.07345115136926					7.95985146428528e+32					7.9598514441357e+32					7.95997197129755e+32					1.51418858374981e-05					1.51418858860213e-05					2.52657888508105e-13
2.13628300444106					7.95985146428528e+32					7.9598514441357e+32					7.9599858707134e+32					1.68880761965861e-05					1.68880758097865e-05					3.7582877738823e-13
2.19911485751286					7.95985146428528e+32					7.9598514441357e+32					7.95999765014038e+32					1.83679313249982e-05					1.83679306895758e-05					4.93072621951337e-13
2.26194671058465					7.95985146428528e+32					7.9598514441357e+32					7.96000712381107e+32					1.95581131710271e-05					1.9558112329927e-05					6.02540416725449e-13
2.32477856365645					7.95985146428528e+32					7.9598514441357e+32					7.96001414231822e+32					2.04398516314494e-05					2.0439850855383e-05					7.02505789152369e-13
2.38761041672824					7.95985146428528e+32					7.9598514441357e+32					7.96001859497989e+32					2.09992416769639e-05					2.09992407226776e-05					7.91392225637377e-13
2.45044226980004					7.95985146428528e+32					7.9598514441357e+32					7.96002041157142e+32					2.1227460952806e-05					2.1227460019432e-05					8.67797933986567e-13
2.51327412287183					7.95985146428528e+32					7.9598514441357e+32					7.96001956344576e+32					2.1120910515287e-05					2.11209095910156e-05					9.30517950533252e-13
2.57610597594363					7.95985146428528e+32					7.9598514441357e+32					7.96001606398038e+32					2.0681270981097e-05					2.06812698013262e-05					9.7856314310324e-13
2.63893782901543					7.95985146428528e+32					7.9598514441357e+32					7.96000996835911e+32					1.99154751226383e-05					1.99154740324728e-05					1.01117581035252e-12
2.70176968208722					7.95985146428528e+32					7.9598514441357e+32					7.96000137271709e+32					1.88356004435373e-05					1.88355993412062e-05					1.02784163103017e-12
2.76460153515902					7.95985146428528e+32					7.9598514441357e+32					7.95999041261172e+32					1.74586770872567e-05					1.74586759964855e-05					1.0282977751824e-12
2.82743338823081					7.95985146428528e+32					7.9598514441357e+32					7.95997726089129e+32					1.58064200668028e-05					1.5806418901992e-05					1.01253704914006e-12
2.89026524130261					7.95985146428528e+32					7.9598514441357e+32					7.95996212496351e+32					1.39048861139029e-05					1.39048851391209e-05					9.80808008971767e-13
2.95309709437441					7.95985146428528e+32					7.9598514441357e+32					7.95994524353434e+32					1.17840639736052e-05					1.17840630312269e-05					9.33611040596552e-13
3.0159289474462					7.95985146428528e+32					7.9598514441357e+32					7.95992688283444e+32					9.47740033449491e-06					9.4773992098747e-06					8.71690468401522e-13
3.078760800518					7.95985146428528e+32					7.9598514441357e+32					7.95990733241826e+32					7.02127206214583e-06					7.02127114145527e-06					7.9602281678533e-13
3.14159265358979					7.95985146428528e+32					7.9598514441357e+32					7.95988690061035e+32					4.45441411777341e-06					4.4544134328339e-06					7.07801409851788e-13
3.20442450666159					7.95985146428528e+32					7.9598514441357e+32					7.95986590963606e+32					1.81730783053002e-06					1.81730696343762e-06					6.0841755186883e-13
3.26725635973339					7.95985146428528e+32					7.9598514441357e+32					7.95984469052844e+32					-8.48458957084763e-07					-8.48459522378181e-07					4.99438585610005e-13
3.33008821280518					7.95985146428528e+32					7.9598514441357e+32					7.95982357793035e+32					-3.50084490163121e-06					-3.50084529468128e-06					3.82583174515083e-13
3.39292006587698					7.95985146428528e+32					7.9598514441357e+32					7.95980290479913e+32					-6.09802040956882e-06					-6.09802064538277e-06					2.59694198215927e-13
3.45575191894877					7.95985146428528e+32					7.9598514441357e+32					7.95978299716405e+32					-8.59902626627743e-06					-8.59902656772598e-06					1.32709689284444e-13
3.51858377202057					7.95985146428528e+32					7.9598514441357e+32					7.95976416897708e+32					-1.09644205330504e-05					-1.09644207042875e-05					3.63226927364997e-15
3.58141562509236					7.95985146428528e+32					7.9598514441357e+32					7.95974671717164e+32					-1.31568993205496e-05					-1.31568993765158e-05					-1.25502433796496e-13
3.64424747816416					7.95985146428528e+32					7.9598514441357e+32					7.95973091697141e+32					-1.51418861432959e-05					-1.51418858860213e-05					-2.52657888507988e-13
3.70707933123596					7.95985146428528e+32					7.9598514441357e+32					7.95971701755983e+32					-1.6888075965925e-05					-1.68880758097865e-05					-3.75828777388088e-13
3.76991118430775					7.95985146428528e+32					7.9598514441357e+32					7.95970523813399e+32					-1.83679309507624e-05					-1.83679306895757e-05					-4.93072621951634e-13
3.83274303737955					7.95985146428528e+32					7.9598514441357e+32					7.9596957644632e+32					-1.95581128098272e-05					-1.9558112329927e-05					-6.02540416724846e-13
3.89557489045134					7.95985146428528e+32					7.9598514441357e+32					7.95968874595413e+32					-2.04398515115926e-05					-2.0439850855383e-05					-7.025057891533e-13
3.95840674352314					7.95985146428528e+32					7.9598514441357e+32					7.95968429329262e+32					-2.09992415370102e-05					-2.09992407226776e-05					-7.91392225636202e-13
4.02123859659494					7.95985146428528e+32					7.9598514441357e+32					7.95968247670055e+32					-2.1227460880566e-05					-2.1227460019432e-05					-8.67797933987456e-13
4.08407044966673					7.95985146428528e+32					7.9598514441357e+32					7.95968332482521e+32					-2.11209105685165e-05					-2.11209095910156e-05					-9.30517950532572e-13
4.14690230273853					7.95985146428528e+32					7.9598514441357e+32					7.95968682429296e+32					-2.06812707361328e-05					-2.06812698013261e-05					-9.7856314310484e-13
4.20973415581032					7.95985146428528e+32					7.9598514441357e+32					7.95969291991288e+32					-1.99154750469583e-05					-1.99154740324728e-05					-1.01117581035316e-12
4.27256600888212					7.95985146428528e+32					7.9598514441357e+32					7.95970151555509e+32					-1.88356003446825e-05					-1.88355993412062e-05					-1.02784163103022e-12
4.33539786195391					7.95985146428528e+32					7.9598514441357e+32					7.95971247566036e+32					-1.74586770007135e-05					-1.74586759964855e-05					-1.0282977751834e-12
4.39822971502571					7.95985146428528e+32					7.9598514441357e+32					7.95972562738064e+32					-1.58064199996323e-05					-1.5806418901992e-05					-1.01253704914049e-12
4.46106156809751					7.95985146428528e+32					7.9598514441357e+32					7.95974076330938e+32					-1.39048859259703e-05					-1.39048851391209e-05					-9.80808008973239e-13
4.5238934211693					7.95985146428528e+32					7.9598514441357e+32					7.95975764473768e+32					-1.17840638959337e-05					-1.17840630312269e-05					-9.33611040596324e-13
4.5867252742411					7.95985146428528e+32					7.9598514441357e+32					7.95977600543971e+32					-9.47739998886548e-06					-9.4773992098747e-06					-8.71690468402229e-13
4.64955712731289					7.95985146428528e+32					7.9598514441357e+32					7.95979555585533e+32					-7.02127178567849e-06					-7.02127114145525e-06					-7.96022816784292e-13
4.71238898038469					7.95985146428528e+32					7.9598514441357e+32					7.95981598766247e+32					-4.45441393943659e-06					-4.45441343283391e-06					-7.07801409851938e-13
4.77522083345649					7.95985146428528e+32					7.9598514441357e+32					7.95983697863956e+32					-1.81730730058903e-06					-1.81730696343764e-06					-6.08417551868436e-13
